Negative
C19H16NO4Cl
C19H16O3
C19H16O4
C19H17N4Cl
C19H18N4O8
C19H20N2O3S
C19H20N3O4SCl
C19H20N3O4SCl
C19H20NO4Cl
C19H22N3O3SCl
C19H22N3O3SCl
C19H30O5
C19H30O5
C20H17N3O4F3Cl
C20H17N3O4F3Cl
C20H20N2OF3Cl
C20H20NO4F
C20H20NO4F
C20H21NO3
C20H38O7S
C21H17NO3F4S2
C21H23N2O3FS
C21H26O5
C21H27N5O4S
C21H28O5
C21H39NO3
C22H19N4O2F3
C22H19N4O2F3
C22H19N4O3F
C22H21N2OF3Cl2
C22H26NO4Cl
C22H26O7
C22H28N2O3
C22H29O4F
C22H30O5
C23H12N2O5F2Cl2
C23H19N2O7F
C23H22N2O4F7SI
C23H24N3O5Cl
C23H24N3O5Cl
C23H28N3O5SCl
C24H27NO5S
C24H30O6F2
C24H31O6F
C24H33O6F
C24H34N3O3F3
C25H22N3O3FS
C25H24N4F6
C25H34N2O7S
C26H22N2O3F3Cl
C26H29N3O6
C26H29N3O6
C26H33N6O4Cl
C26H34NO5F
C27H27N2O3F9
C27H35N7O3F2
C27H37O6F
C28H27NO4S
C28H37NO4S
C29H32O13
C29H44O12
C30H32N3O8SCl
C30H32N3O8SCl
C30H46O2
C31H32N3O3FCl2
C31H33NO7
C33H35N2O5F
C33H35N2O5F
C33H40N2O9
C34H30N2O5
C36H40N5O3F2SCl
C36H47N5O4
C41H76N2O15
C42H52N4O7S
C5H2NOCl3
C6H3OBr3
C6H3OCl3
C6HOCl5
C7H13NO4S
C7H3NOBr2
C7H4NO3Cl3
C7H4NO3F3
C7H6N2O5
C7H6O4S
C7H9NO3S
C8H10O3S
C8H11O6Cl3
C8H15N7O2S3
C8H2NO2F17S
C8H5O3Cl3
C8H6O7S
C8H7O3Cl
C9H13N2O2Br
C9H13N2O2Cl
C9H15O4PCl6
C9H3O3Cl3
C9H4O4Cl6
C9H5N4Cl
C9H6O4SCl6
C9H9N3O2S2
Positive
C12H27N
C9H20N2O2
C10H19N5O
C6H8N7OCl
C11H19N5S
C18H19N3O
C8H15N7O2S3
C15H15N3OF3Cl
C19H20N2O3S
C26H29NO
C22H19N4O3F
C33H35N2O5F
C35H48N4O3S
C41H76N2O15
C20H23N
C19H20N2O2
C21H26N2O3
C10H30O5Si5
C28H29N3OF2
C30H35N4O2F
C17H37N
C14H14N2OCl2
C20H12O5
C18H19N3O3S
C22H28NO3F
C22H30N4O2
C36H47N5O4
C18H39NO2
C23H26N2O4
C23H24N4O3S
C25H22N3O3FS
C25H34N2O7S
C33H40N2O9
C21H21N
C22H26NOCl
C21H23NO2F2
C17H22N2O3S2
C35H38N4O4F2
C13H18NOCl
C12H13N4Cl
C16H21NO2
C13H14N2Cl2
C14H12NOFCl2
C21H29N3O2
C21H27N2O2Cl
C22H23N2O2Cl
C20H21N2O4Cl
C24H20N4O2
C28H30N2O3
C28H35N7O4S
C35H47N4O2F
C33H43N3O6
C31H35N4O7SCl
C17H22N2O
C16H35NO2
C17H27NO2
C19H17N3
C17H16N3OCl
C17H19N2SCl
C20H24N2O2
C19H24N2O3
C24H27N3
C20H23N2O2F3
C21H25N3O2S
C21H23N2O3FS
C22H26NO4Cl
C17H19N2O4F3S
C25H30N4OS
C24H34N3O3F3
C28H27NO4S
C26H29N3O6
C25H24N4F6
C26H28N4O4Cl2
C31H33NO7
C27H35N7O3F2
C31H49N5O4
C31H32N3O3FCl2
C30H32N3O8SCl
C25H29NO3I2
C42H52N4O7S
C17H16N2
C19H24N2
C17H36N2O
C21H27NO
C19H23N2Cl
C19H14NOF3
C21H22N2O2
C21H23NO2FCl
C21H31N5O2
C22H23N3O2S
C25H23N2O2F
C26H28NOCl
C25H20N4O2
C27H41NO2
C22H27N3O3S
C27H29NO3
C26H33N3O2
C22H21N2OF3Cl2
C33H39N3
C33H40N2O
C22H20N5O4Br
C26H33N6O4Cl
C33H34N4O3
C27H32N4O7S
C32H42N4O3Cl2
C36H40N5O3F2SCl
C10H13N2Cl
C14H13N3
C13H13N3
C13H24N4O3S
C10H19N5S
C12H10N3OCl
C12H17N3O3S
C23H23N4OCl2Br
C15H17N3OCl2
C9H16N5Cl
C18H23NO
C29H35NO2
C41H64O13
C17H21NO4
C16H22N3OCl
C18H13NOCl2
C9H10NOCl
C10H7N3S
C17H17N3O3
C14H17N3OCl2
C15H17N3O2Cl2
C13H11N3OF4Cl2
C23H19N5O2
C21H16N4O5FCl
C35H42N4O2Cl2
C9H17N5S
C14H19N3S
C16H19N2Cl
C21H30N2
C13H22N4O3S
C18H22NO3Cl
C17H25N7O
C33H31N3O4Cl2
C14H17N2O2Br
C21H21N2OCl
C18H15N2OCl3
C21H25N2O3Cl
C25H24N5O4SCl
C13H15N3Cl2
